x,y,z
7.114407169999999460e+05,3.082784390000000130e+05,9.102299999999999613e+01
7.114297349999999860e+05,3.082678699999999953e+05,9.178900000000000148e+01
7.114179960000000428e+05,3.082504519999999902e+05,9.286599999999999966e+01
7.114095829999999842e+05,3.082400329999999958e+05,9.365399999999999636e+01
7.114108449999999721e+05,3.082567089999999735e+05,9.466299999999999670e+01
7.114037989999999991e+05,3.082417420000000275e+05,9.528000000000000114e+01
7.114159520000000484e+05,3.082234469999999856e+05,9.079200000000000159e+01
7.114092850000000326e+05,3.082330019999999786e+05,9.294299999999999784e+01
7.114303689999999478e+05,3.082701089999999967e+05,9.201200000000000045e+01
7.114181330000000307e+05,3.082334099999999744e+05,9.134799999999999898e+01
7.114234799999999814e+05,3.082220650000000023e+05,9.077899999999999636e+01
7.114061850000000559e+05,3.082355509999999776e+05,9.380200000000000671e+01
7.114008000000000466e+05,3.082359459999999963e+05,9.530100000000000193e+01
7.113997979999999516e+05,3.082301269999999786e+05,9.491400000000000148e+01
7.114150949999999721e+05,3.082578929999999818e+05,9.398400000000000887e+01
7.114113630000000121e+05,3.082568969999999972e+05,9.469800000000000750e+01
7.114180879999999888e+05,3.082578520000000135e+05,9.322599999999999909e+01
7.114137349999999860e+05,3.082384519999999902e+05,9.265800000000000125e+01
7.114243429999999935e+05,3.082671630000000005e+05,9.280400000000000205e+01
7.114076099999999860e+05,3.082352579999999725e+05,9.348700000000000898e+01
7.114157979999999516e+05,3.082385920000000042e+05,9.228900000000000148e+01
7.114228270000000484e+05,3.082628950000000186e+05,9.268600000000000705e+01
7.114135259999999544e+05,3.082508070000000298e+05,9.371900000000000830e+01
7.114216360000000568e+05,3.082559949999999953e+05,9.249599999999999511e+01
7.114131639999999898e+05,3.082481390000000247e+05,9.353100000000000591e+01
7.114017700000000186e+05,3.082316419999999925e+05,9.450199999999999534e+01
7.114207419999999693e+05,3.082665509999999776e+05,9.358299999999999841e+01
7.114188310000000056e+05,3.082551070000000182e+05,9.298799999999999955e+01
7.114474660000000149e+05,3.082597559999999939e+05,8.946099999999999852e+01
7.114102569999999832e+05,3.082466309999999939e+05,9.422800000000000864e+01
7.114001119999999646e+05,3.082310009999999893e+05,9.495100000000000762e+01
7.114094939999999478e+05,3.082452930000000051e+05,9.407000000000000739e+01
7.114303120000000345e+05,3.082785570000000298e+05,9.277500000000000568e+01
7.114220100000000093e+05,3.082556410000000033e+05,9.245600000000000307e+01
7.114225330000000540e+05,3.082661329999999725e+05,9.313299999999999557e+01
7.114166580000000540e+05,3.082469789999999921e+05,9.263599999999999568e+01
7.114178120000000345e+05,3.082656620000000112e+05,9.411299999999999955e+01
7.114293249999999534e+05,3.082678410000000149e+05,9.183800000000000807e+01
7.114338370000000577e+05,3.082768530000000028e+05,9.183400000000000318e+01
7.114034939999999478e+05,3.082379429999999702e+05,9.489000000000000057e+01
7.114500069999999832e+05,3.082666849999999977e+05,8.915900000000000603e+01
